id;naam_nl;naam_fr;naam_officieel;land;lastensoort;regeling;belastingtype;socialelastentype;vrijstellingstype;transactionele_basis;variabiliteitsklasse;effect;waarde;eenheid;geldig_jaar;geldig_van;geldig_tot;status;bron_url;bron_kenmerk;bronsoort;instantie;verificatiedatum;verificatie_door;aanpassingsfrequentie;ingevoerd;vervallen;gebruikt_in;afwijkend;kandidaat
p.fr.acre.reductie_en_duur;ACRE: reductie en duur;ACRE: taux et duree;Aide a la creation ou reprise d entreprise;FR;sociaal;fr.acre;;zelfstandigenbijdrage;;omzet;overheid_vastgesteld;verlaagt_last;;procent en maanden;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude;nee;nee
p.fr.apa.bedrag_per_maand;APA-bedrag per maand;Montant de l APA par mois;Allocation personnalisee d autonomie, plafonds par GIR;FR;sociaal;fr.apa;;;;inkomen;overheid_vastgesteld;verlaagt_last;;EUR/maand;2026;;;te_verifieren;;;;;;;jaarlijks;;;ouderenzorg-fr;nee;nee
p.fr.aspa.maximum_alleenstaand;ASPA maximum voor een alleenstaande;ASPA, montant maximal pour une personne seule;Allocation de solidarite aux personnes agees;FR;sociaal;fr.aspa;;;;inkomen;overheid_vastgesteld;verlaagt_last;;EUR/maand;2026;;;te_verifieren;;;;;;;jaarlijks;;;ouderenzorg-fr;nee;nee
p.fr.assur.auto_rc_verplicht;Verplichte WA-autoverzekering;Assurance automobile obligatoire;Art. L211-1 Code des assurances;FR;verzekering_overheidsgekaderd;fr.assur;;;;polis;overheid_vastgesteld;bepaalt_toepasselijkheid;;tekst;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F2123;art. L211-1 Code des assurances;nog niet geraadpleegd;Ministere de l economie;;;zelden;;;;nee;ja
p.fr.assur.bonus_malus_auto;Bonus-malus autoverzekering;Coefficient de reduction-majoration;Annexe a l art. A121-1 Code des assurances;FR;verzekering_overheidsgekaderd;fr.assur;;;;polis;overheid_vastgesteld;verhoogt_last;;factor en procent;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.assur.dommages_ouvrage;Assurance dommages-ouvrage;Assurance dommages-ouvrage;Art. L242-1 Code des assurances;FR;verzekering_overheidsgekaderd;fr.assur;;;;polis;overheid_vastgesteld;verhoogt_last;;procent;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F2129;art. L242-1 Code des assurances;nog niet geraadpleegd;Ministere de l economie;;;zelden;;;;nee;ja
p.fr.assur.garantie_decennale;Garantie decennale van de aannemer;Garantie decennale;Art. 1792 Code civil;FR;verzekering_overheidsgekaderd;fr.assur;;;;polis;overheid_vastgesteld;bepaalt_toepasselijkheid;;jaren;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F2034;art. 1792 Code civil;nog niet geraadpleegd;Ministere de la justice;;;zelden;;;;nee;ja
p.fr.assur.habitation_verplicht;Verplichte opstal- en inboedelverzekering;Assurance habitation obligatoire;Art. 7 g loi 89-462;FR;verzekering_overheidsgekaderd;fr.assur;;;;polis;overheid_vastgesteld;bepaalt_toepasselijkheid;;tekst;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F2123;"service-public.fr, assurance habitation; art. 7 g loi 89-462";nog niet geraadpleegd;Ministere de l economie;;;zelden;;;;nee;ja
p.fr.av.abattements;Assurance vie, abattements;Assurance vie, abattements;Art. 990 I, 757 B en 125-0 A CGI;FR;fiscaal;fr.av;erf_en_schenkbelasting;;abattement;polis;overheid_vastgesteld;verlaagt_last;;EUR;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.bouw.drempels_bijgebouw;Oppervlaktedrempels voor een vrijstaand bijgebouw;Seuils de surface pour une annexe;Art. R421-2 en R421-9 Code de l urbanisme;FR;overig_transactiekosten;fr.bouw;;;drempel;oppervlakte;overheid_vastgesteld;bepaalt_toepasselijkheid;;m2;2026;;;te_verifieren;;;;;;;zelden;;;bouwvergunningwijzer-frankrijk;nee;nee
p.fr.bouw.drempels_uitbreiding;Oppervlaktedrempels voor een uitbreiding;Seuils de surface pour une extension;Art. R421-14 en R431-2 Code de l urbanisme;FR;overig_transactiekosten;fr.bouw;;;drempel;oppervlakte;overheid_vastgesteld;bepaalt_toepasselijkheid;;m2;2026;;;te_verifieren;;;;;;;zelden;;;bouwvergunningwijzer-frankrijk;nee;nee
